date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:17:51	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2004%20Apr%202025%2009:47:52%20GMT	https://www.edumilestones.com/career-library/	C:/My%20Web%20Sites/nexgen%20links/www.edumilestones.com/career-library/index.html	(from )
15:18:04	77443/77443	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Apr%202025%2009:47:52%20GMT	https://www.edumilestones.com/career-library/How-to-become-a-Software-Engineer-in-India-Career-Guidance	C:/My%20Web%20Sites/nexgen%20links/www.edumilestones.com/career-library/How-to-become-a-Software-Engineer-in-India-Career-Guidance.html	(from )
15:18:05	75912/75912	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Apr%202025%2009:47:53%20GMT	https://www.edumilestones.com/career-library/How-to-make-a-career-in-Electronics-and-Communication-in-India-Career-Guidance	C:/My%20Web%20Sites/nexgen%20links/www.edumilestones.com/career-library/How-to-make-a-career-in-Electronics-and-Communication-in-India-Career-Guidance.html	(from )
15:18:06	75368/75368	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Apr%202025%2009:48:06%20GMT	https://www.edumilestones.com/career-library/How-to-become-a-IT-Project-manager-in-India-Career-Guidance	C:/My%20Web%20Sites/nexgen%20links/www.edumilestones.com/career-library/How-to-become-a-IT-Project-manager-in-India-Career-Guidance.html	(from )
15:18:06	80247/80247	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Apr%202025%2009:48:07%20GMT	https://www.edumilestones.com/career-library/How-to-become-a-Business-Analyst-IT-in-India-Career-Guidance	C:/My%20Web%20Sites/nexgen%20links/www.edumilestones.com/career-library/How-to-become-a-Business-Analyst-IT-in-India-Career-Guidance.html	(from )
15:18:09	79664/79664	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Apr%202025%2009:48:07%20GMT	https://www.edumilestones.com/career-library/How-to-become-a-Ethical-Hacker-in-India-Career-Guidance	C:/My%20Web%20Sites/nexgen%20links/www.edumilestones.com/career-library/How-to-become-a-Ethical-Hacker-in-India-Career-Guidance.html	(from )
15:18:10	75316/75316	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Apr%202025%2009:48:08%20GMT	https://www.edumilestones.com/career-library/How-to-become-a-Block-chain-engineer-in-India-Career-Guidance	C:/My%20Web%20Sites/nexgen%20links/www.edumilestones.com/career-library/How-to-become-a-Block-chain-engineer-in-India-Career-Guidance.html	(from )
15:18:10	77010/77010	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Apr%202025%2009:48:11%20GMT	https://www.edumilestones.com/career-library/How-to-become-a-Artificial-Intelligence-(AI)-Engineer-in-India-Career-Guidance	C:/My%20Web%20Sites/nexgen%20links/www.edumilestones.com/career-library/How-to-become-a-Artificial-Intelligence-(AI)-Engineer-in-India-Career-Guidance.html	(from )
15:18:11	77976/77976	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Apr%202025%2009:48:11%20GMT	https://www.edumilestones.com/career-library/How-to-make-a-career-in-Software-Testing-and-Quality-Assurance-in-India-Career-Guidance	C:/My%20Web%20Sites/nexgen%20links/www.edumilestones.com/career-library/How-to-make-a-career-in-Software-Testing-and-Quality-Assurance-in-India-Career-Guidance.html	(from )
15:18:11	78041/78041	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Apr%202025%2009:48:11%20GMT	https://www.edumilestones.com/career-library/How-to-become-a-Mobile-App-Developer-in-India-Career-Guidance	C:/My%20Web%20Sites/nexgen%20links/www.edumilestones.com/career-library/How-to-become-a-Mobile-App-Developer-in-India-Career-Guidance.html	(from )
